design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows,min_text_overlap,max_text_overlap,texts
dlzs_snap_k,float,5,0.871937192849928,0.16666666666666666,0.8770168683535018,100,667440,0,0.16666666666666666,0.8770168683535018,100
dlzs_snap_k,float,10,0.8941048942557518,0.3,0.8997584541062802,100,667440,0,0.3,0.8997584541062802,100
dlzs_snap_k,float,15,0.9008902645914421,0.42857142857142855,0.9053873360938582,100,667440,1,0.42857142857142855,0.9053873360938582,100
dlzs_snap_k,float,20,0.9069847598827727,0.47368421052631576,0.911120645817441,100,667440,0,0.47368421052631576,0.911120645817441,100
dlzs_snap_k,float,25,0.9135250949473527,0.5217391304347826,0.9164566267590845,100,667440,3,0.5217391304347826,0.9164566267590845,100
dlzs_snap_k,float,30,0.9202055001193175,0.5769230769230769,0.9229470632248413,100,667440,2,0.5769230769230769,0.9229470632248413,100
dlzs_snap_k,float,35,0.9267908826261139,0.5757575757575758,0.9291370697620702,100,667440,0,0.5757575757575758,0.9291370697620702,100
dlzs_snap_k,float,40,0.9328864792109273,0.6190476190476191,0.9351180555555556,100,667440,2,0.6190476190476191,0.9351180555555556,100
dlzs_snap_k,float,45,0.938855763554205,0.6923076923076923,0.9412257495590828,100,667440,2,0.6923076923076923,0.9412257495590828,100
dlzs_snap_k,float,50,0.9440338528262984,0.6976744186046512,0.9463194444444439,100,667440,1,0.6976744186046512,0.9463194444444439,100
dlzs_snap_k,quantized_exact,5,0.8719367968174041,0.16666666666666666,0.8770856252291893,100,667440,0,0.16666666666666666,0.8770856252291893,100
dlzs_snap_k,quantized_exact,10,0.8941049786456794,0.3,0.8997584541062802,100,667440,0,0.3,0.8997584541062802,100
dlzs_snap_k,quantized_exact,15,0.9008919504130071,0.42857142857142855,0.9053657694962047,100,667440,1,0.42857142857142855,0.9053657694962047,100
dlzs_snap_k,quantized_exact,20,0.9069830740302065,0.47368421052631576,0.911120645817441,100,667440,0,0.47368421052631576,0.911120645817441,100
dlzs_snap_k,quantized_exact,25,0.9135252158421459,0.5217391304347826,0.9164434992648608,100,667440,3,0.5217391304347826,0.9164434992648608,100
dlzs_snap_k,quantized_exact,30,0.9202056869841603,0.5769230769230769,0.9229470632248413,100,667440,2,0.5769230769230769,0.9229470632248413,100
dlzs_snap_k,quantized_exact,35,0.926791809475563,0.5757575757575758,0.9291370697620702,100,667440,0,0.5757575757575758,0.9291370697620702,100
dlzs_snap_k,quantized_exact,40,0.9328859169459812,0.6190476190476191,0.9351180555555554,100,667440,2,0.6190476190476191,0.9351180555555554,100
dlzs_snap_k,quantized_exact,45,0.9388560159363385,0.6923076923076923,0.9412312610229274,100,667440,2,0.6923076923076923,0.9412312610229274,100
