design,baseline,percent,mean_overlap,min_text_overlap,max_text_overlap,texts
dlzs_snap_k,float,5,0.8738600928027297,0.8703078078078078,0.8770833333333332,4
dlzs_snap_k,float,10,0.8939064338607718,0.890671921921922,0.8975970017636684,4
dlzs_snap_k,float,15,0.9009786975326359,0.8985539923039924,0.9028123702781237,4
dlzs_snap_k,float,20,0.9073205201311945,0.9059059059059058,0.9084855403348554,4
dlzs_snap_k,float,25,0.9133846987868277,0.9112928718191875,0.9163962989665946,4
dlzs_snap_k,float,30,0.9202528459363813,0.9187638725682201,0.9215355610903555,4
dlzs_snap_k,float,35,0.9253594826630406,0.922874797874798,0.9277016742770168,4
dlzs_snap_k,float,40,0.9311835748185328,0.9301864364364365,0.9331050228310502,4
dlzs_snap_k,float,45,0.9366777422443584,0.9354133545310014,0.938183201881832,4
dlzs_snap_k,float,50,0.9418382174614434,0.9405537294050809,0.9438942367024558,4
dlzs_snap_k,quantized_exact,5,0.8738364711502553,0.8702608858858858,0.8770833333333332,4
dlzs_snap_k,quantized_exact,10,0.8939064338607718,0.890671921921922,0.8975970017636684,4
dlzs_snap_k,quantized_exact,15,0.9009736430006121,0.8985539923039924,0.9027950740279509,4
dlzs_snap_k,quantized_exact,20,0.9073282015497215,0.9059059059059058,0.9084855403348554,4
dlzs_snap_k,quantized_exact,25,0.9133912442058663,0.9112731152204836,0.9164163262036369,4
dlzs_snap_k,quantized_exact,30,0.9202539855434992,0.9187557122339728,0.9215355610903555,4
dlzs_snap_k,quantized_exact,35,0.9253564099347489,0.9228820166320167,0.9276943566327129,4
dlzs_snap_k,quantized_exact,40,0.9311846811571036,0.9301801801801801,0.9331050228310502,4
dlzs_snap_k,quantized_exact,45,0.9366795711565366,0.9354188747571099,0.9381774364651077,4
dlzs_snap_k,quantized_exact,50,0.9418324098572319,0.9405486567648731,0.9438839524455963,4
dlzs_snap_q,float,5,0.9104928650519405,0.9092941400304415,0.9117063492063492,4
dlzs_snap_q,float,10,0.9189577616286378,0.916455518018018,0.9210207231040565,4
dlzs_snap_q,float,15,0.9237334966144897,0.9227030579770307,0.9246121121121121,4
dlzs_snap_q,float,20,0.9276826961141525,0.9270833333333334,0.9280656707127295,4
dlzs_snap_q,float,25,0.931616389994248,0.9305259206574996,0.9328186333413441,4
dlzs_snap_q,float,30,0.936181546331282,0.9360882621752187,0.9364443426943428,4
dlzs_snap_q,float,35,0.9403559064541751,0.9393335643335645,0.9419710806697109,4
dlzs_snap_q,float,40,0.9452024152921827,0.9443255755755757,0.9465816844241502,4
dlzs_snap_q,float,45,0.9496958856187218,0.9493197278911565,0.9499094959621274,4
dlzs_snap_q,float,50,0.9543603202699095,0.95362085058031,0.9551863507342959,4
dlzs_snap_q,quantized_exact,5,0.9105047562239343,0.909341704718417,0.9117063492063492,4
dlzs_snap_q,quantized_exact,10,0.9189637072146348,0.916455518018018,0.9210207231040565,4
dlzs_snap_q,quantized_exact,15,0.923746109908353,0.9227030579770307,0.9246903153153152,4
dlzs_snap_q,quantized_exact,20,0.9276855573274163,0.927094606782107,0.9280656707127295,4
dlzs_snap_q,quantized_exact,25,0.9316047243702427,0.9305061640587956,0.932808619722823,4
dlzs_snap_q,quantized_exact,30,0.9361767316278928,0.9360719415067239,0.936431623931624,4
dlzs_snap_q,quantized_exact,35,0.9403556141795774,0.9393335643335645,0.9419710806697109,4
dlzs_snap_q,quantized_exact,40,0.945199874338503,0.9443193193193193,0.9465816844241502,4
dlzs_snap_q,quantized_exact,45,0.9496936320309673,0.9493145743145743,0.9499051448064605,4
