design,baseline,percent,mean_overlap,min_overlap,rows,boundary_tie_rows
exact_int16,quantized_exact,5,1.0,1.0,384,0
exact_int16,quantized_exact,10,1.0,1.0,384,0
exact_int16,quantized_exact,15,1.0,1.0,384,0
exact_int16,quantized_exact,20,1.0,1.0,384,0
exact_int16,quantized_exact,25,1.0,1.0,384,0
exact_int16,quantized_exact,30,1.0,1.0,384,0
exact_int16,quantized_exact,35,1.0,1.0,384,0
exact_int16,quantized_exact,40,1.0,1.0,384,0
exact_int16,quantized_exact,45,1.0,1.0,384,0
exact_int16,quantized_exact,50,1.0,1.0,384,0
exact_int16,float,5,1.0,1.0,384,0
exact_int16,float,10,1.0,1.0,384,0
exact_int16,float,15,1.0,1.0,384,0
exact_int16,float,20,1.0,1.0,384,0
exact_int16,float,25,1.0,1.0,384,0
exact_int16,float,30,1.0,1.0,384,0
exact_int16,float,35,0.9997395833333332,0.9,384,0
exact_int16,float,40,1.0,1.0,384,0
exact_int16,float,45,1.0,1.0,384,0
exact_int16,float,50,1.0,1.0,384,0
dlzs_snap_q,quantized_exact,5,0.9140625,0.0,384,0
dlzs_snap_q,quantized_exact,10,0.9201388888888888,0.0,384,0
dlzs_snap_q,quantized_exact,15,0.9049479166666666,0.0,384,0
dlzs_snap_q,quantized_exact,20,0.9210069444444445,0.5,384,0
dlzs_snap_q,quantized_exact,25,0.9283854166666666,0.5,384,0
dlzs_snap_q,quantized_exact,30,0.9342447916666666,0.5,384,0
dlzs_snap_q,quantized_exact,35,0.9376736111111111,0.6666666666666666,384,0
dlzs_snap_q,quantized_exact,40,0.9439709595959594,0.6666666666666666,384,0
dlzs_snap_q,quantized_exact,45,0.9474826388888888,0.6666666666666666,384,0
dlzs_snap_q,quantized_exact,50,0.9492521367521368,0.6666666666666666,384,0
dlzs_snap_q,float,5,0.9140625,0.0,384,0
dlzs_snap_q,float,10,0.9201388888888888,0.0,384,0
dlzs_snap_q,float,15,0.9049479166666666,0.0,384,0
dlzs_snap_q,float,20,0.9210069444444445,0.5,384,0
dlzs_snap_q,float,25,0.9283854166666666,0.5,384,0
dlzs_snap_q,float,30,0.9342447916666666,0.5,384,0
dlzs_snap_q,float,35,0.9374131944444445,0.6666666666666666,384,0
dlzs_snap_q,float,40,0.9439709595959594,0.6666666666666666,384,0
dlzs_snap_q,float,45,0.9474826388888888,0.6666666666666666,384,0
dlzs_snap_q,float,50,0.9492521367521368,0.6666666666666666,384,0
dlzs_snap_k,quantized_exact,5,0.8984375,0.0,384,0
dlzs_snap_k,quantized_exact,10,0.912326388888889,0.0,384,0
dlzs_snap_k,quantized_exact,15,0.9049479166666666,0.0,384,0
dlzs_snap_k,quantized_exact,20,0.9144965277777778,0.5,384,0
dlzs_snap_k,quantized_exact,25,0.9105282738095237,0.5,384,0
dlzs_snap_k,quantized_exact,30,0.9205729166666666,0.5,384,0
dlzs_snap_k,quantized_exact,35,0.9373263888888891,0.6666666666666666,384,0
dlzs_snap_k,quantized_exact,40,0.9416824494949495,0.6666666666666666,384,0
dlzs_snap_k,quantized_exact,45,0.9496527777777777,0.6666666666666666,384,0
dlzs_snap_k,quantized_exact,50,0.9481837606837608,0.6666666666666666,384,0
dlzs_snap_k,float,5,0.8984375,0.0,384,0
dlzs_snap_k,float,10,0.912326388888889,0.0,384,0
dlzs_snap_k,float,15,0.9049479166666666,0.0,384,0
dlzs_snap_k,float,20,0.9144965277777778,0.5,384,0
dlzs_snap_k,float,25,0.9105282738095237,0.5,384,0
dlzs_snap_k,float,30,0.9205729166666666,0.5,384,0
dlzs_snap_k,float,35,0.9370659722222223,0.6666666666666666,384,0
dlzs_snap_k,float,40,0.9416824494949495,0.6666666666666666,384,0
dlzs_snap_k,float,45,0.9496527777777777,0.6666666666666666,384,0
dlzs_snap_k,float,50,0.9481837606837608,0.6666666666666666,384,0
mitchell,quantized_exact,5,0.9830729166666666,0.0,384,0
mitchell,quantized_exact,10,0.982638888888889,0.0,384,0
mitchell,quantized_exact,15,0.9733072916666666,0.0,384,0
mitchell,quantized_exact,20,0.9800347222222223,0.5,384,0
mitchell,quantized_exact,25,0.9802827380952381,0.5,384,0
mitchell,quantized_exact,30,0.9830729166666666,0.5,384,0
mitchell,quantized_exact,35,0.9856770833333334,0.8,384,0
mitchell,quantized_exact,40,0.9886363636363636,0.9090909090909091,384,0
mitchell,quantized_exact,45,0.9921875,0.8333333333333334,384,0
mitchell,quantized_exact,50,0.991386217948718,0.8461538461538461,384,0
mitchell,float,5,0.9830729166666666,0.0,384,0
mitchell,float,10,0.982638888888889,0.0,384,0
mitchell,float,15,0.9733072916666666,0.0,384,0
mitchell,float,20,0.9800347222222223,0.5,384,0
mitchell,float,25,0.9802827380952381,0.5,384,0
mitchell,float,30,0.9830729166666666,0.5,384,0
mitchell,float,35,0.9859375,0.8,384,0
mitchell,float,40,0.9886363636363636,0.9090909090909091,384,0
mitchell,float,45,0.9921875,0.8333333333333334,384,0
mitchell,float,50,0.991386217948718,0.8461538461538461,384,0
drum3,quantized_exact,5,0.93359375,0.0,384,0
drum3,quantized_exact,10,0.9427083333333334,0.0,384,0
drum3,quantized_exact,15,0.9173177083333334,0.0,384,0
drum3,quantized_exact,20,0.9279513888888888,0.5,384,0
drum3,quantized_exact,25,0.9324776785714285,0.5,384,0
drum3,quantized_exact,30,0.9388020833333334,0.5,384,0
drum3,quantized_exact,35,0.946701388888889,0.6666666666666666,384,0
drum3,quantized_exact,40,0.9573074494949494,0.6666666666666666,384,0
drum3,quantized_exact,45,0.9620225694444443,0.6666666666666666,384,0
drum3,quantized_exact,50,0.9594017094017095,0.6666666666666666,384,0
drum3,float,5,0.93359375,0.0,384,0
drum3,float,10,0.9427083333333334,0.0,384,0
drum3,float,15,0.9173177083333334,0.0,384,0
drum3,float,20,0.9279513888888888,0.5,384,0
drum3,float,25,0.9324776785714285,0.5,384,0
drum3,float,30,0.9388020833333334,0.5,384,0
drum3,float,35,0.946701388888889,0.6666666666666666,384,0
drum3,float,40,0.9573074494949494,0.6666666666666666,384,0
drum3,float,45,0.9620225694444443,0.6666666666666666,384,0
drum3,float,50,0.9594017094017095,0.6666666666666666,384,0
drum4,quantized_exact,5,0.9674479166666666,0.0,384,0
drum4,quantized_exact,10,0.9652777777777777,0.0,384,0
