design    drum4_signed
top       drum_wrapper_test
generics  K=4
part      xc7z020clg400-1
period_ns 10.0
stage     impl
synth_luts   249
synth_ffs    64
synth_dsps   0
synth_wns_ns -4.474
synth_fmax_mhz 69.09
synth_logic_levels 21
synth_worst_from b_reg_reg[0]/C
synth_worst_to   p_reg[28]/D
impl_luts    262
impl_ffs     64
impl_dsps    0
impl_wns_ns  -3.056
impl_whs_ns  0.411
impl_fmax_mhz 76.59
impl_logic_levels 22
impl_worst_from b_reg_reg[0]/C
impl_worst_to   p_reg[30]/D
