design    drum_opt7
top       drum_opt_wrapper
generics  K=7
part      xc7z020clg400-1
period_ns 10.0
stage     impl
dsp_policy lut
synth_luts   345
synth_ffs    64
synth_dsps   0
synth_wns_ns -5.645
synth_fmax_mhz 63.92
synth_logic_levels 21
synth_worst_from a_reg_reg[0]/C
synth_worst_to   p_reg[23]/D
impl_luts    366
impl_ffs     66
impl_dsps    0
impl_wns_ns  -4.030
impl_whs_ns  1.038
impl_fmax_mhz 71.28
impl_fmax_limit data_path
impl_min_period_ns 1.000
impl_min_period_pin FDRE/C
impl_logic_levels 19
impl_worst_from b_reg_reg[0]/C
impl_worst_to   p_reg[23]/D
